162;17;Бежевая сумка;7000;;PROGRES;28753-05 ;Сумка имеет размеры 40x33x19. Объем - 25.;Япония
163;17;Бежевая сумка;7000;;PROGRES;28754-05 ;Сумка имеет размеры 58x36x19. Объем - 43.;Япония
164;17;Синяя сумка;7000;;PROGRES;28755-03 ;Сумка имеет размеры 46x30x20. Объем - 27,5.;Япония
165;17;Бежевая сумка;7000;;PROGRES;28755-05 ;Сумка имеет размеры 46x30x20. Объем - 27,5.;Япония
166;17;Черная сумка;2500;;PROGRES;28761-01 ;Сумка имеет размеры 26x25x3. Объем - 2.;Япония
167;17;Сиреневая сумка;2500;;PROGRES;28761-07 ;Сумка имеет размеры 26x25x3. Объем - 2.;Япония
168;17;Черная сумка;3000;;PROGRES;28762-01 ;Сумка имеет размеры 27x19x8. Объем - 4.;Япония
169;17;Сиреневая сумка;3000;;PROGRES;28762-07 ;Сумка имеет размеры 27x19x8. Объем - 4.;Япония
170;17;Черная сумка;3500;;PROGRES;28763-01 ;Сумка имеет размеры 26x27x8. Объем - 5,5.;Япония
171;17;Сиреневая сумка;3500;;PROGRES;28763-07 ;Сумка имеет размеры 26x27x8. Объем - 5,5.;Япония
172;17;Коричневая дорожная сумка (колеса);5500;;PROGRES;48236-08 ;Сумка имеет размеры 38x30x19 или 47x30x23. Объем - от 22 до 32.;Япония
173;17;Коричневая дорожная сумка (колеса);6000;;PROGRES;48237-08 ;Сумка имеет размеры 40x33x20 или 41x40x20. Объем - от 26 до 33.;Япония
174;17;Черная дорожная сумка (колеса);6500;;PROGRES;51116-01 ;Сумка изготовлена из полиэстера. Размеры - 44/36х35х20. Объем - 25.;Япония
175;17;Зеленая дорожная сумка (колеса);6500;;PROGRES;51116-04 ;Сумка изготовлена из полиэстера. Размеры - 44/36х35х20. Объем - 25.;Япония
176;17;Черная дорожная сумка (колеса);6500;;PROGRES;51117-01 ;Сумка изготовлена из полиэстера. Размеры - 50/44х35х24. Объем - 37.;Япония
177;17;Зеленая дорожная сумка (колеса);6500;;PROGRES;51117-04 ;Сумка изготовлена из полиэстера. Размеры - 50/44х35х24. Объем - 37.;Япония
178;19;Черный чемодан;4000;;ACE GENE;10076-01;;Япония
179;19;Черный чемодан;10000;;ACE GENE;30920-01 ;;Япония
180;19;Черный чемодан;9000;;ACE GENE;45821-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса. Размеры - 40x35x22 / 41x37x24;Япония
181;19;Черный чемодан;8000;;ACE GENE;45823-01;Чемодан изготовлен из нейлона. Имеет 4 колеса. Размеры - 43x40x24. Объем - 41.;Япония
182;19;Черный чемодан;8000;;ACE GENE;48526-01 ;Чемодан изготовлен из полиэстера. Имеет 2 колеса. Размеры - 40х36х22/27, объем - 32/39 или 41x40x24/29, объем - 41/47. Вес - 2,7.;Япония
183;19;Черный чемодан;7500;;ACE GENE;48527-01 ;Чемодан изготовлен из полиэстера. Имеет 4 колеса. Размеры - 41х36х22, объем - 32,5 с увеличением 42x40x25, объем - 42. Вес - 3,1.;Япония
184;19;Черный чемодан;7500;;ACE GENE;48528-01 ;Чемодан изготовлен из полиэстера. Имеет 4 колеса. Размеры - 45x36x22, объем - 36 с увеличением 46х40х25, объем - 46. Вес - 3,2.;Япония
185;19;Черный чемодан;3500;;ACE GENE;65119-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса, колеса можно отсоединить. Размеры - 42x33x17. ;Япония
186;19;Черный чемодан;3500;;ACE GENE;65120-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса, колеса можно отсоединить. Размеры - 49x35x18. ;Япония
187;19;Черный чемодан;4500;;ACE GENE;65130-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса. Размеры - 43x34x21. ;Япония
188;19;Черный чемодан;5000;;ACE GENE;65134-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса. Размеры - 55x38x23. ;Япония
189;19;Черный чемодан;5500;;ACE GENE;65135-01 ;Чемодан изготовлен из нейлона. Имеет 2 колеса. Размеры - 60x42x24. ;Япония
190;19;Черный чемодан;7500;;ACE GENE;65143-01 ;;Япония
191;19;Черный чемодан;7500;;ACE GENE;65144-01 ;;Япония
192;20;Бежевый чемодан;7000;;PROGRES;236003-05;Чемодан изготовлен из нейлона и экокожи. Размеры - 51x34x24. Объем - 41,6.;Япония
193;20;Бежевый чемодан;7500;;PROGRES;28756-05;Чемодан изготовлен из нейлона и экокожи. Размеры - 43x34x21. Объем - 30,5.;Япония
194;22;Черный кошелек ;300;;Athlete;0199941-1-01;;Япония
195;22;Оранжевый кошелек;300;;Athlete;0199941-1-14;;Япония
196;22;Синий кошелек;300;;Athlete;0199941-1-15 ;;Япония
197;22;Черный кошелек ;300;;Athlete;0199941-2-01 ;;Япония
198;22;Оранжевый кошелек;300;;Athlete;0199941-2-14 ;;Япония
199;22;Синий кошелек;300;;Athlete;0199941-2-15;;Япония
200;22;Серый кошелек;300;;Athlete;0199943-9-09;;Япония
201;22;Черный портмоне;300;;Athlete;60091-01 ;;Япония
202;22;Черный портмоне;300;;Athlete;60092-01;;Япония
203;22;Серый портмоне;300;;Athlete;60092-09 ;;Япония
204;22;Черный портмоне;300;;Athlete;60094-01;;Япония
205;22;Серый портмоне;300;;Athlete;60094-09;;Япония
206;22;Черный портмоне;300;;Athlete;60095-01;;Япония
207;22;Серый портмоне;300;;Athlete;60095-09 ;;Япония
208;22;Черный портмоне;300;;Athlete;60097-01 ;;Япония
209;22;Серый портмоне;300;;Athlete;60098-09;;Япония
210;22;Портмоне цвета хаки;300;;Athlete;60132-04 ;;Япония
211;22;Серый портмоне;300;;Athlete;60132-09 ;;Япония
212;22;Красный портионе;300;;Athlete;60132-10;;Япония
213;22;Оранжевый портмоне;300;;Athlete;60132-14 ;;Япония
214;22;Портмоне цвета хаки;300;;Athlete;60133-04;;Япония
215;22;Серый портмоне;300;;Athlete;60133-09 ;;Япония
216;22;Красный портионе;300;;Athlete;60133-10 ;;Япония
217;22;Черный портмоне;300;;Athlete;60134-01;;Япония
218;22;Портмоне цвета хаки;300;;Athlete;60134-04 ;;Япония
219;22;Серый портмоне;300;;Athlete;60134-09;;Япония
220;22;Красный портионе;300;;Athlete;60134-10;;Япония
221;22;Оранжевый портмоне;300;;Athlete;60134-14;;Япония
222;22;Портмоне цвета хаки;300;;Athlete;60135-04 ;;Япония
223;22;Серый портмоне;300;;Athlete;60135-09 ;;Япония
224;22;Красный портионе;300;;Athlete;60135-10;;Япония
225;22;Оранжевый портмоне;300;;Athlete;60135-14;;Япония
226;22;Розовый портмоне;300;;Athlete;60141-11 ;;Япония
227;22;Серый портмоне;300;;Athlete;60142-09 ;;Япония
228;22;Розовый портмоне;300;;Athlete;60142-11;;Япония
229;22;Черный портмоне;300;;Athlete;60143-01 ;;Япония
230;22;Серый портмоне;300;;Athlete;60143-09 ;;Япония
231;22;Розовый портмоне;300;;Athlete;60143-11 ;;Япония
232;22;Черный портмоне;300;;Athlete;60144-01 ;;Япония
233;22;Серый портмоне;300;;Athlete;60144-09;;Япония
234;22;Розовый портмоне;300;;Athlete;60144-11;;Япония
235;22;Розовый портмоне;300;;Athlete;60145-11;;Япония
236;23; Кошелек детский цвета хаки;200;;Athlete;70018-04;;Япония
237;23; Бежевый кошелек детский;200;;Athlete;70018-05;;Япония
238;23;Красный кошелек детский;200;;Athlete;70018-10;;Япония
239;23;Розовый кошелек детский;200;;Athlete;70018-11;;Япония
240;23;Голубой кошелек детский;200;;Athlete;70018-15 ;;Япония
